u,v,key,osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,access,bridge,tunnel,width,junction
42429661,42439275,0,852992102,7th Avenue,secondary,25 mph,True,False,74.349,"LINESTRING (-73.997862 40.741056, -73.997903 40.7409995, -73.9982454 40.7405275, -73.998287 40.74047)",3,,,,,,
42429662,42429661,0,194923795,West 18th Street,residential,25 mph,True,False,273.56399999999996,"LINESTRING (-74.0006951 40.7422581, -74.0005672 40.7422038, -73.9979976 40.7411135, -73.997862 40.741056)",,,,,,,
42429662,42435610,0,"[420598335, 465098271]",8th Avenue,secondary,25 mph,True,False,74.694,"LINESTRING (-74.0006951 40.7422581, -74.0006529 40.7423175, -74.000549 40.7424635, -74.0004774 40.742562, -74.0003095 40.7427904, -74.0002679 40.7428467)","['4', '3']",,,,,,
42429663,42429662,0,194923795,West 18th Street,residential,25 mph,True,False,278.277,"LINESTRING (-74.0035806 40.7434761, -74.0034486 40.7434201, -74.0034165 40.7434066, -74.0008378 40.7423205, -74.0008012 40.7423051, -74.0006951 40.7422581)",,,,,,,
42429663,42439280,0,194923812,9th Avenue,secondary,25 mph,True,False,74.797,"LINESTRING (-74.0035806 40.7434761, -74.0036259 40.743412, -74.0039582 40.7429411, -74.0039992 40.7428829)",,,,,,,
42429664,42429663,0,127693199,West 18th Street,unclassified,25 mph,True,False,269.70399999999995,"LINESTRING (-74.006385 40.744646, -74.0062663 40.7445965, -74.0048374 40.7440004, -74.0047332 40.7439569, -74.0042856 40.7437702, -74.0042042 40.7437363, -74.0036781 40.7435168, -74.0035806 40.7434761)",,,,,,,
42429664,42454381,0,127693200,10th Avenue,primary,25 mph,True,False,74.252,"LINESTRING (-74.006385 40.744646, -74.0063321 40.7447173, -74.0060022 40.7451729, -74.00596 40.745231)",,,,,,,
42429680,42429682,0,5669841,East 70th Street,residential,25 mph,True,False,154.01500000000001,"LINESTRING (-73.967994 40.771147, -73.9678966 40.7711075, -73.9673149 40.7708629, -73.9665043 40.7705218, -73.9663944 40.7704755)",1,,,,,,
42429680,42455693,0,195743339,5th Avenue,secondary,25 mph,True,False,79.139,"LINESTRING (-73.967994 40.771147, -73.9680239 40.7711057, -73.9684078 40.7705795, -73.9684509 40.7705251)",3,,,,,,
42429682,596776009,0,5669841,East 70th Street,residential,25 mph,True,False,146.278,"LINESTRING (-73.9663944 40.7704755, -73.9662922 40.7704323, -73.9649886 40.7698827, -73.9648768 40.7698355)",1,,,,,,
42429682,42445227,0,195743185,Madison Avenue,secondary,25 mph,True,False,80.282,"LINESTRING (-73.9663944 40.7704755, -73.9663519 40.770533, -73.9659728 40.7710447, -73.9659285 40.7711054)",4,,,,,,
42429685,42429688,0,5669841,East 70th Street,residential,25 mph,True,False,147.409,"LINESTRING (-73.9646978 40.7697588, -73.9645868 40.7697112, -73.963274 40.7691579, -73.9631686 40.7691137)",1,,,,,,
42429685,42445230,0,686125782,Park Avenue,primary,25 mph,True,False,81.19200000000001,"LINESTRING (-73.9646978 40.7697588, -73.9646533 40.7698192, -73.964254 40.7703212, -73.9642066 40.770387)",3,,,,,,
42429688,42429690,0,5669841,East 70th Street,residential,25 mph,True,False,153.601,"LINESTRING (-73.9631686 40.7691137, -73.9630639 40.7690695, -73.961709 40.7684986, -73.9615751 40.7684416)",1,,,,,,
42429688,42447076,0,1106469542,Lexington Avenue,secondary,25 mph,True,False,79.195,"LINESTRING (-73.9631686 40.7691137, -73.9632063 40.769062, -73.9635825 40.7685445, -73.9636212 40.7684894)",3,,,,,,
42429690,42429693,0,5669841,East 70th Street,residential,25 mph,True,False,215.313,"LINESTRING (-73.9615751 40.7684416, -73.9614366 40.768381, -73.9606726 40.7680638, -73.9601212 40.7678314, -73.9594909 40.7675642, -73.9594517 40.7675479, -73.9593404 40.7675009)",1,,,,,,
42429690,42445236,0,1059545194,3rd Avenue,primary,,True,False,80.96699999999998,"LINESTRING (-73.9615751 40.7684416, -73.9615313 40.7685006, -73.9611552 40.7690094, -73.9611072 40.7690777)",4,,,,,,
42429693,42429694,0,5669841,East 70th Street,residential,25 mph,True,False,231.141,"LINESTRING (-73.9593404 40.7675009, -73.9592144 40.7674465, -73.9570925 40.7665522, -73.9569436 40.7664881)",1,,,,,,
42429693,42443000,0,461593093,2nd Avenue,primary,25 mph,True,False,79.28999999999999,"LINESTRING (-73.9593404 40.7675009, -73.9593759 40.7674504, -73.9594886 40.7672901, -73.959741 40.7669312, -73.9597829 40.7668715)",4,,,,,,
42429694,42428003,0,"[968393481, 1032451923]",East 70th Street,residential,25 mph,True,False,215.345,"LINESTRING (-73.9569436 40.7664881, -73.9568207 40.7664361, -73.955572 40.7659079, -73.9554013 40.7658357, -73.9553874 40.7658299, -73.9550846 40.7657018, -73.9548309 40.7655953, -73.9547105 40.7655447)","['2', '3']",,,,,,
42429694,42445247,0,"[968393482, 421853965]",1st Avenue,primary,25 mph,True,False,81.404,"LINESTRING (-73.9569436 40.7664881, -73.9569025 40.7665497, -73.9567672 40.7667328, -73.9565979 40.7669703, -73.9565275 40.7670679, -73.9564821 40.7671313)","['5', '6']",,,,,,
42429700,42430231,0,25199402,West 4th Street,residential,25 mph,True,False,19.548000000000002,"LINESTRING (-74.0011515 40.7317982, -74.0010787 40.7317628, -74.000954 40.731706)",,,,,,,
42429701,42429700,0,5669842,Cornelia Street,residential,25 mph,True,False,167.825,"LINESTRING (-74.0029381 40.7311376, -74.0029063 40.7311489, -74.0028868 40.7311559, -74.001221 40.7317509, -74.0012171 40.7317529, -74.0011515 40.7317982)",,,,,,,
42429701,42431777,0,467222812,Bleecker Street,residential,25 mph,True,False,26.017,"LINESTRING (-74.0029381 40.7311376, -74.0029194 40.7311016, -74.0028182 40.730922)",1,,,,,,
42429703,42429704,0,5669846,West 218th Street,tertiary,,False,False,173.77599999999998,"LINESTRING (-73.9121747 40.8703989, -73.9122641 40.870425, -73.9123224 40.8704499, -73.9138829 40.8711179, -73.9139795 40.8711588)",,,,,,,
42429703,42444880,0,5671259,9th Avenue,tertiary,,False,False,120.291,"LINESTRING (-73.9121747 40.8703989, -73.9127671 40.8695575, -73.912847 40.869444)",,,,,,,
42429703,42444884,0,5671259,9th Avenue,tertiary,,False,True,82.764,"LINESTRING (-73.9121747 40.8703989, -73.912019 40.8706123, -73.9116992 40.8710506)",,,,,,,
42429704,1544809885,0,165399494,West 218th Street,tertiary,,False,False,13.078,"LINESTRING (-73.9139795 40.8711588, -73.9141154 40.871216)",,,,,,,
42429704,42429703,0,5669846,West 218th Street,tertiary,,False,True,173.77599999999998,"LINESTRING (-73.9139795 40.8711588, -73.9138829 40.8711179, -73.9123224 40.8704499, -73.9122641 40.870425, -73.9121747 40.8703989)",,,,,,,
42429704,42429255,0,680889023,Broadway,primary,,True,False,85.49,"LINESTRING (-73.9139795 40.8711588, -73.9138997 40.8712195, -73.9136427 40.8714153, -73.9132764 40.871714)",3,US 9,,,,,
42429705,42434372,0,164875073,Park Terrace East,residential,20 mph,True,False,85.027,"LINESTRING (-73.915056 40.871603, -73.9151353 40.8715387, -73.915746 40.871044)",,,,,,,
42429705,42429707,0,833386644,West 218th Street,tertiary,20 mph,False,False,117.52199999999999,"LINESTRING (-73.915056 40.871603, -73.9156818 40.8718657, -73.916278 40.872116)",,,,,,,
42429705,1544809885,0,"[902816137, 47845066]",West 218th Street,tertiary,,False,True,90.04200000000002,"LINESTRING (-73.915056 40.871603, -73.9147693 40.8714809, -73.9142931 40.871288, -73.9142646 40.8712764, -73.9142504 40.8712707, -73.9141154 40.871216)",,,,,,,
42429707,42429708,0,833386644,West 218th Street,tertiary,20 mph,False,False,86.68900000000001,"LINESTRING (-73.916278 40.872116, -73.9171033 40.872468, -73.917176 40.872499)",,,,,,,
42429707,42429705,0,833386644,West 218th Street,tertiary,20 mph,False,True,117.52199999999999,"LINESTRING (-73.916278 40.872116, -73.9156818 40.8718657, -73.915056 40.871603)",,,,,,,
42429708,42454538,0,47845042,Seaman Avenue,tertiary,20 mph,False,True,162.74099999999999,"LINESTRING (-73.917176 40.872499, -73.9172559 40.8724403, -73.9185068 40.8715211, -73.918564 40.871479)",,,,,,,
42429708,42429709,0,132500932,West 218th Street,tertiary,20 mph,False,False,122.554,"LINESTRING (-73.917176 40.872499, -73.9172941 40.8725472, -73.9173697 40.872578, -73.9176909 40.8727089, -73.918459 40.873022)",,,,,,,
42429708,42429707,0,833386644,West 218th Street,tertiary,20 mph,False,True,86.68900000000001,"LINESTRING (-73.917176 40.872499, -73.9171033 40.872468, -73.916278 40.872116)",,,,,,,
42429709,42432882,0,5670141,Indian Road,residential,20 mph,True,False,120.182,"LINESTRING (-73.918459 40.873022, -73.919458 40.872249)",,,,,,,
42429709,42429708,0,132500932,West 218th Street,tertiary,20 mph,False,True,122.55400000000002,"LINESTRING (-73.918459 40.873022, -73.9176909 40.8727089, -73.9173697 40.872578, -73.9172941 40.8725472, -73.917176 40.872499)",,,,,,,
42429727,42445215,0,"[420878112, 420878096, 1034716084]",Malcolm X Boulevard,secondary,,True,False,79.717,"LINESTRING (-73.947737 40.8045555, -73.9476987 40.8046085, -73.9475605 40.8047992, -73.9474352 40.8049721, -73.9473172 40.8051349, -73.9472816 40.8051841)","['2', '3']",,,,,,
42429727,2099150501,0,845942677,West 120th Street,residential,,True,False,150.385,"LINESTRING (-73.947737 40.8045555, -73.9476469 40.8045173, -73.9463188 40.8039535, -73.9462788 40.8039351, -73.9461817 40.80389)",1,,,,,,
42429735,42432905,0,"[420882490, 420882491, 420882493]",Saint Nicholas Avenue,secondary,25 mph,False,False,93.679,"LINESTRING (-73.952857 40.806709, -73.9528616 40.8067909, -73.952874 40.8070133, -73.9528867 40.8072406, -73.9528943 40.8073842, -73.9528982 40.8074369, -73.9529047 40.8075507)",3,,,,,,
42429735,4163940359,0,660671382,West 120th Street,residential,,True,False,204.39100000000002,"LINESTRING (-73.952857 40.806709, -73.952717 40.8066498, -73.9508511 40.8058605, -73.9507375 40.8058118)",1,,,,,,
42429735,42432900,0,671845942,Saint Nicholas Avenue,secondary,25 mph,False,True,92.598,"LINESTRING (-73.952857 40.806709, -73.9528528 40.8066394, -73.9528019 40.8059492, -73.9527966 40.8058775)",2,,,,,,
42429741,42429735,0,5669850,West 120th Street,residential,,True,False,61.961999999999996,"LINESTRING (-73.9534985 40.8069824, -73.9533911 40.8069366, -73.953003 40.8067712, -73.952857 40.806709)",1,,,,,,
42429741,42435775,0,806169765,Frederick Douglass Boulevard,secondary,25 mph,False,True,80.01299999999999,"LINESTRING (-73.9534985 40.8069824, -73.953537 40.8069295, -73.9539156 40.80641, -73.9539576 40.8063523)",2,,,,,,
42429741,42435785,0,"[569369536, 848011475]",Frederick Douglass Boulevard,secondary,25 mph,False,False,79.57499999999999,"LINESTRING (-73.9534985 40.8069824, -73.9534547 40.8070424, -73.9532242 40.8073581, -73.9531044 40.8075177, -73.9530399 40.8076082)",2,,,,,,
42429744,42429741,0,5669850,West 120th Street,residential,,True,False,139.918,"LINESTRING (-73.9549478 40.8075988, -73.9548557 40.8075596, -73.9536197 40.8070331, -73.9534985 40.8069824)",1,,,,,,
42429744,42445219,0,195743187,Manhattan Avenue,residential,,False,False,78.96,"LINESTRING (-73.9549478 40.8075988, -73.9549087 40.8076531, -73.9545358 40.808171, -73.9544988 40.8082223)",,,,,,,
42429744,42447330,0,195743187,Manhattan Avenue,residential,,False,True,80.541,"LINESTRING (-73.9549478 40.8075988, -73.9549884 40.8075436, -73.9552561 40.80718, -73.9553688 40.8070253, -73.9554122 40.8069655)",,,,,,,
42429747,42429744,0,5669850,West 120th Street,residential,,True,False,133.897,"LINESTRING (-73.9563424 40.808178, -73.9562212 40.8081289, -73.9555967 40.8078602, -73.9550456 40.8076382, -73.9549478 40.8075988)",1,,,,,,
42429747,42440131,0,5670859,Morningside Avenue,residential,,False,False,79.378,"LINESTRING (-73.9563424 40.808178, -73.956297 40.80824, -73.9559193 40.8087575, -73.9558862 40.8088028)",,,,,,,
42429747,42440125,0,5670859,Morningside Avenue,residential,,False,True,79.69600000000001,"LINESTRING (-73.9563424 40.808178, -73.9563825 40.8081262, -73.9567574 40.8076114, -73.9568013 40.8075511)",,,,,,,
42429752,1773076511,0,420354142,Kenmare Street,primary,25 mph,False,True,9.949,"LINESTRING (-73.9940925 40.720336, -73.9939846 40.7202997)",,,,,,,
42429752,42430030,0,5669892,Kenmare Street,primary,25 mph,False,False,80.643,"LINESTRING (-73.9940925 40.720336, -73.9942016 40.7203728, -73.9942648 40.7203942, -73.9949048 40.7206108, -73.9949663 40.7206316)",2,,,,,,
42429752,1773076513,0,420355077,Bowery,primary,25 mph,True,False,47.305,"LINESTRING (-73.9940925 40.720336, -73.9941313 40.7202341, -73.9941973 40.7200628, -73.9941898 40.719922)",3,,,,,,
42429754,486869282,0,46139043,Chrystie Street,secondary,25 mph,False,False,16.674,"LINESTRING (-73.9929412 40.7199144, -73.99288 40.720057)",,,,,,,
42429754,42432085,0,454031476,Chrystie Street,secondary,25 mph,False,True,100.32000000000001,"LINESTRING (-73.9929412 40.7199144, -73.9929839 40.7198163, -73.9933269 40.7191322, -73.99336 40.71907)",,,,,,,
