osmid,y,x,highway,street_count,ref,geometry
42443119,40.8045404,-73.9323176,traffic_signals,3,,POINT (-73.9323176 40.8045404)
42443127,40.7237271,-73.9910315,,4,,POINT (-73.9910315 40.7237271)
42443181,40.8155364,-73.9597119,stop,3,,POINT (-73.9597119 40.8155364)
42443263,40.7893529,-73.9570893,,3,,POINT (-73.9570893 40.7893529)
42443264,40.7885854,-73.9552649,traffic_signals,4,,POINT (-73.9552649 40.7885854)
42443268,40.7879006,-73.9557669,traffic_signals,4,,POINT (-73.9557669 40.7879006)
42443280,40.7832589,-73.9745499,traffic_signals,4,,POINT (-73.9745499 40.7832589)
42443296,40.7298431,-73.9896929,,3,,POINT (-73.9896929 40.7298431)
42443298,40.7299057,-73.9889161,traffic_signals,4,,POINT (-73.9889161 40.7299057)
42443313,40.7717305,-73.9829512,traffic_signals,3,,POINT (-73.9829512 40.7717305)
42443326,40.7748544,-73.9806716,traffic_signals,4,,POINT (-73.9806716 40.7748544)
42443329,40.7754797,-73.9802121,traffic_signals,4,,POINT (-73.9802121 40.7754797)
42443332,40.7761092,-73.9797528,traffic_signals,4,,POINT (-73.9797528 40.7761092)
42443336,40.7774164,-73.9787995,traffic_signals,4,,POINT (-73.9787995 40.7774164)
42443341,40.7787465,-73.9778546,traffic_signals,4,,POINT (-73.9778546 40.7787465)
42443344,40.7793715,-73.9773846,traffic_signals,4,,POINT (-73.9773846 40.7793715)
42443346,40.7799947,-73.9769106,traffic_signals,4,,POINT (-73.9769106 40.7799947)
42443347,40.7819606,-73.9754991,traffic_signals,3,,POINT (-73.9754991 40.7819606)
42443349,40.7858123,-73.9726868,traffic_signals,4,,POINT (-73.9726868 40.7858123)
42443353,40.7864968,-73.9721811,traffic_signals,4,,POINT (-73.9721811 40.7864968)
42443363,40.7903176,-73.9694076,traffic_signals,4,,POINT (-73.9694076 40.7903176)
42443366,40.7909442,-73.9689668,traffic_signals,4,,POINT (-73.9689668 40.7909442)
42443373,40.7921969,-73.9680402,traffic_signals,4,,POINT (-73.9680402 40.7921969)
42443381,40.792876,-73.9675451,traffic_signals,4,,POINT (-73.9675451 40.792876)
42443388,40.7935554,-73.9670321,traffic_signals,4,,POINT (-73.9670321 40.7935554)
42443403,40.795486,-73.9656255,traffic_signals,4,,POINT (-73.9656255 40.795486)
42443406,40.7979207,-73.9638432,traffic_signals,4,,POINT (-73.9638432 40.7979207)
42443413,40.8005466,-73.9619296,traffic_signals,4,,POINT (-73.9619296 40.8005466)
